date,value,value_classification,price
2020-01-01,53,Neutral,7200.0
2020-01-02,41,Fear,7429.072983051326
2020-01-03,57,Greed,7527.468927332505
2020-01-04,52,Neutral,7500.231945930529
2020-01-05,50,Neutral,7884.44715426609
2020-01-06,51,Neutral,7434.617132550333
2020-01-07,48,Neutral,7545.790033447096
2020-01-08,59,Greed,7429.512922357403
2020-01-09,52,Neutral,7484.64044855583
2020-01-10,59,Greed,7702.362030793924
2020-01-11,56,Greed,7411.69082345723
2020-01-12,47,Neutral,7271.156965132038
2020-01-13,46,Neutral,7329.734605586209
2020-01-14,47,Neutral,7005.545431524403
2020-01-15,40,Fear,7370.244913858448
2020-01-16,51,Neutral,7116.451558723758
2020-01-17,50,Neutral,6853.539839908678
2020-01-18,44,Fear,6733.351372933049
2020-01-19,53,Neutral,6409.466897357017
2020-01-20,50,Neutral,6534.033473594601
2020-01-21,54,Neutral,6489.375131151931
2020-01-22,58,Greed,6301.646105089406
2020-01-23,56,Greed,6249.128363792572
2020-01-24,54,Neutral,6651.865472139517
2020-01-25,59,Greed,6687.790486358481
2020-01-26,45,Neutral,6636.801454576043
2020-01-27,43,Fear,6706.9089901684565
2020-01-28,53,Neutral,6672.7488000485755
2020-01-29,46,Neutral,6773.669250893189
2020-01-30,42,Fear,7166.493714608571
2020-01-31,38,Fear,7134.571021765791
2020-02-01,44,Fear,7457.722723479236
2020-02-02,37,Fear,7242.430606636449
2020-02-03,40,Fear,7684.883971095765
2020-02-04,38,Fear,7614.453233814353
2020-02-05,51,Neutral,8026.600171444713
2020-02-06,46,Neutral,8526.239881543672
2020-02-07,49,Neutral,8638.271436456964
2020-02-08,47,Neutral,8115.3394800381675
2020-02-09,47,Neutral,8095.852501821953
2020-02-10,40,Fear,7846.485373395718
2020-02-11,38,Fear,7420.632841476003
2020-02-12,39,Fear,7274.658657499429
2020-02-13,50,Neutral,7666.4849272931915
2020-02-14,51,Neutral,8063.379713886112
2020-02-15,48,Neutral,7825.811683951987
2020-02-16,52,Neutral,8157.341672789668
2020-02-17,55,Neutral,7708.640326229497
2020-02-18,60,Greed,8027.728830159063
2020-02-19,60,Greed,7987.191311149241
2020-02-20,67,Greed,8404.603435576346
2020-02-21,65,Greed,8550.42692003779
2020-02-22,71,Greed,8734.841462517335
2020-02-23,74,Greed,9128.22207695067
2020-02-24,70,Greed,8971.859476824267
2020-02-25,66,Greed,9146.229347460814
2020-02-26,68,Greed,8858.712677562571
2020-02-27,64,Greed,8481.067660359147
2020-02-28,60,Greed,8332.153174981857
2020-02-29,58,Greed,8778.72536894462
2020-03-01,67,Greed,9382.723511568443
2020-03-02,72,Greed,9670.634522949917
2020-03-03,68,Greed,9422.512152881742
2020-03-04,63,Greed,9063.549528830952
2020-03-05,61,Greed,9198.145198166101
2020-03-06,51,Neutral,9120.870459354064
